First Name,Last Name,Date of Birth,Phone,Email,Address,Camper ID
Emily,Adams,1990-06-12,1234567890,emily@example.com,123 Main St,1
Daniel,Thomas,1985-08-25,2345678901,daniel@example.com,456 Elm St,2
Grace,Clark,1988-04-30,3456789012,grace@example.com,789 Oak St,3
Christopher,Wilson,1995-09-17,4567890123,chris@example.com,1011 Pine St,4
Natalie,Evans,1986-11-22,5678901234,natalie@example.com,1213 Maple St,5
Andrew,Johnson,1992-03-05,6789012345,andrew@example.com,1415 Cedar St,6
Sophie,Martin,1993-07-10,7890123456,sophie@example.com,1617 Birch St,7
David,Hall,1991-05-15,8901234567,david@example.com,1819 Spruce St,8
Ava,Thompson,1987-12-20,9012345678,ava@example.com,2021 Ash St,9
Ryan,Harris,1984-02-08,0123456789,ryan@example.com,2223 Oakwood St,10
Madison,Young,1996-09-14,1234509876,madison@example.com,2425 Walnut St,11
Justin,Hernandez,1982-08-03,2345098765,justin@example.com,2627 Magnolia St,12
Alexis,King,1990-04-29,3450987654,alexis@example.com,2829 Cedarwood St,13
Samuel,Wright,1983-11-18,4509876543,samuel@example.com,3031 Pinecrest St,14
Brooklyn,Lewis,1994-06-20,5098765432,brooklyn@example.com,3233 Elmwood St,15
Taylor,Scott,1989-12-15,0987654321,taylor@example.com,3435 Maplewood St,16
Logan,Davis,1987-07-05,9876543210,logan@example.com,3637 Birchwood St,17
Ella,Allen,1986-09-10,8765432109,ella@example.com,3839 Oakhill St,18
