First Name,Last Name,Date of Birth,Phone,Email,Address
Emma,Johnson,10/15/2015,1234567890,emma@example.com,123 Main St
Liam,Williams,12/05/2013,2345678901,liam@example.com,456 Elm St
Olivia,Brown,09/20/2014,3456789012,olivia@example.com,789 Oak St
Noah,Jones,08/08/2012,4567890123,noah@example.com,1011 Pine St
Ava,Garcia,06/25/2010,5678901234,ava@example.com,1213 Maple St
William,Martinez,11/18/2011,6789012345,william@example.com,1415 Cedar St
Sophia,Smith,07/30/2013,7890123456,sophia@example.com,1617 Birch St
James,Anderson,05/12/2010,8901234567,james@example.com,1819 Spruce St
Isabella,Hernandez,04/03/2012,9012345678,isabella@example.com,2021 Ash St
Logan,Miller,03/22/2014,0123456789,logan@example.com,2223 Oakwood St
Mia,Gonzalez,01/14/2016,1234509876,mia@example.com,2425 Walnut St
Benjamin,Lee,02/09/2011,2345098765,benjamin@example.com,2627 Magnolia St
Amelia,Chen,08/31/2015,3450987654,amelia@example.com,2829 Cedarwood St
Elijah,Wang,09/28/2013,4509876543,elijah@example.com,3031 Pinecrest St
Charlotte,Liu,11/05/2010,5098765432,charlotte@example.com,3233 Elmwood St
Harper,Nguyen,12/20/2012,0987654321,harper@example.com,3435 Maplewood St
Evelyn,Kim,07/07/2014,9876543210,evelyn@example.com,3637 Birchwood St
Michael,Patel,06/02/2016,8765432109,michael@example.com,3839 Oakhill St
